"id","market_name","city_or_town","municipality_or_region","street_address","latitude","longitude","market_type","days_of_week","schedule_text_en","schedule_text_fr","season_start","season_end","year_round","opening_time","closing_time","date_exceptions","products_summary_en","products_summary_fr","official_source_url","directions_url","source_type","schedule_year","last_checked","confidence","evidence_quote","notes_en","notes_fr"
"swon-001","Downtown Windsor Farmers' Market","Windsor","City of Windsor, Essex County","494 Pelissier Street (Pelissier St & Maiden Ln W)","42.3149599","-83.0382329","farmers market","[""Saturday""]","Every Saturday, 9 a.m. to 2 p.m., March 28 to October 31, 2026.","Tous les samedis, de 9 h à 14 h, du 28 mars au 31 octobre 2026.","2026-03-28","2026-10-31","False","09:00","14:00","","Farm-fresh fruit, vegetables and produce plus artisan food products from Windsor and Essex County vendors.","Fruits et légumes frais de la ferme ainsi que des produits alimentaires artisanaux de producteurs de Windsor et du comté d'Essex.","https://www.downtownwindsor.ca/farmers-market/","https://www.google.com/maps/search/?api=1&query=Downtown%20Windsor%20Farmers%27%20Market%2C%20494%20Pelissier%20Street%20%28Pelissier%20St%20%26%20Maiden%20Ln%20W%29%2C%20Windsor%2C%20Ontario%2C%20Canada","official market","2026","2026-08-28","High","2026 Regular Season runs every Saturday from 9am-2pm starting March 28 until October 31!","Street address 494 Pelissier Street confirmed by the Farmers' Markets Ontario listing (https://farmersmarketsontario.com/markets/downtown-windsor-farmers-market); Tourism Windsor Essex lists the location as Pelissier St & Maiden Ln W.","L'adresse 494, rue Pelissier est confirmée par la fiche de Farmers' Markets Ontario; Tourisme Windsor Essex indique l'emplacement Pelissier St et Maiden Ln W."
"swon-003","Tecumseh Farmers Market","Tecumseh","Town of Tecumseh, Essex County","Lacasse Park, 590 Lacasse Blvd","","","seasonal community market","[""Sunday""]","Third Sunday of the month, 9 a.m. to 1 p.m.: June 21, July 19, August 16, September 20 and October 18, 2026.","Le troisième dimanche du mois, de 9 h à 13 h : les 21 juin, 19 juillet, 16 août, 20 septembre et 18 octobre 2026.","2026-06-21","2026-10-18","False","09:00","13:00","Monthly market only (third Sunday); dates are June 21, July 19, Aug 16, Sept 20 and Oct 18, 2026.","Fresh, locally grown produce, homemade goods and artisanal products.","Produits frais cultivés localement, produits maison et articles artisanaux.","https://www.tecumseh.ca/parks-recreation-and-events/events-and-festivals/tecumseh-farmers-market/","https://www.google.com/maps/search/?api=1&query=Tecumseh%20Farmers%20Market%2C%20Lacasse%20Park%2C%20590%20Lacasse%20Blvd%2C%20Tecumseh%2C%20Ontario%2C%20Canada","municipal","2026","2026-08-28","High","Third Sunday of the month (June to October): Sunday, June 21, 2026 ... Sunday, October 18, 2026 | 9:00AM - 1:00PM","Monthly, not weekly. Address 590 Lacasse Blvd from the WE Heart Local Windsor-Essex market directory (https://www.weheartlocal.ca/farmers-markets/).","Marché mensuel et non hebdomadaire. Adresse 590, boul. Lacasse tirée du répertoire WE Heart Local de Windsor-Essex."
"swon-004","Chatham Farmers' Market","Chatham","Municipality of Chatham-Kent","Downtown Chatham Centre (indoors at the mall), 100 King Street","","","farmers market","[""Saturday""]","Saturdays, 8 a.m. to 2 p.m., May 2 to December 26; held indoors at the mall.","Les samedis, de 8 h à 14 h, du 2 mai au 26 décembre; à l'intérieur du centre commercial.","05-02","12-26","False","08:00","14:00","","Rotating vendors offering local market goods in the downtown core.","Marchands en rotation offrant des produits locaux au centre-ville.","https://www.chatham-kent.ca/visitck/doandsee/farmersmarkets/Pages/Chatham-Farmers-Market.aspx","https://www.google.com/maps/search/?api=1&query=Chatham%20Farmers%27%20Market%2C%20Downtown%20Chatham%20Centre%20%28indoors%20at%20the%20mall%29%2C%20100%20King%20Street%2C%20Chatham%2C%20Ontario%2C%20Canada","municipal","","2026-08-28","Medium","This market runs Saturdays, May 2 - December 26. Join in the experience every Saturday from 8:00 AM to 2:00 PM and explore a lively market experience featuring rotating vendors each week. Hosted in the downtown core of Chatham, the Chatham Farmers' Market takes place indoors at the mall, located at 100 King Street.","FLAGGED: the municipal page does not state a schedule year (page copyright 2020). May 2 and December 26 are both Saturdays in 2026, so the posted range is consistent with a 2026 calendar, but the year is not confirmed in the source.","SIGNALÉ : la page municipale n'indique pas l'année de l'horaire (droit d'auteur 2020). Le 2 mai et le 26 décembre tombent un samedi en 2026, ce qui est compatible avec le calendrier 2026, mais l'année n'est pas confirmée par la source."
"swon-005","Wallaceburg Farmers' Market","Wallaceburg","Municipality of Chatham-Kent","Municipal Parking Lot ""D"", James Street","","","farmers market","[""Saturday""]","Every other Saturday from early June until Thanksgiving weekend. Posted 2026 dates: June 6 and 20, July 4 and 18, August 1, 15 and 29, September 12 and 26, October 10.","Un samedi sur deux, du début juin jusqu'au week-end de l'Action de grâce. Dates affichées pour 2026 : 6 et 20 juin, 4 et 18 juillet, 1er, 15 et 29 août, 12 et 26 septembre, 10 octobre.","2026-06-06","2026-10-10","False","","","Bi-weekly market. 2026 dates: Jun 6, Jun 20, Jul 4, Jul 18, Aug 1, Aug 15, Aug 29, Sep 12, Sep 26, Oct 10.","Fresh harvest from the town's surrounding agricultural area, in the riverfront downtown.","Récoltes fraîches de la région agricole environnante, au centre-ville riverain.","https://wallaceburgbia.com/farmers-market/","https://www.google.com/maps/search/?api=1&query=Wallaceburg%20Farmers%27%20Market%2C%20Municipal%20Parking%20Lot%20%22D%22%2C%20James%20Street%2C%20Wallaceburg%2C%20Ontario%2C%20Canada","official market","2026","2026-08-28","High","The Wallaceburg Market opens in early June and runs every other Saturday until Thanksgiving weekend. [2026 dates listed: June 6, June 20, July 4, July 18, August 1, August 15, August 29, September 12, September 26, October 10]","Bi-weekly, not weekly. Location ""Municipal Parking Lot 'D' on James Street, Wallaceburg"" from the Chatham-Kent municipal listing (https://www.chatham-kent.ca/visitck/doandsee/farmersmarkets/Pages/Wallaceburg-Farmers'-Market-.aspx). Opening/closing times not published.","Marché bimensuel. L'emplacement « stationnement municipal D, rue James » provient de la fiche municipale de Chatham-Kent. Les heures d'ouverture et de fermeture ne sont pas publiées."
"swon-007","Sarnia Farmers' Market","Sarnia","City of Sarnia, Lambton County","110 Proctor Street","42.9674905","-82.3969766","public market","[""Wednesday"", ""Saturday""]","Wednesdays and Saturdays, 7 a.m. to 1 p.m., year round.","Les mercredis et samedis, de 7 h à 13 h, à l'année.","","","True","07:00","13:00","","Roughly two dozen local vendors offering produce and other market goods.","Une vingtaine de marchands locaux offrant des produits maraîchers et d'autres denrées.","https://ontbluecoast.com/listing/sarnia-farmers-market/","https://www.google.com/maps/search/?api=1&query=Sarnia%20Farmers%27%20Market%2C%20110%20Proctor%20Street%2C%20Sarnia%2C%20Ontario%2C%20Canada","other","","2026-08-28","Medium","110 Proctor Street, Sarnia, ON N7T 3G2, Canada ... 7 am-1:00 pm, Wednesdays and Saturdays ... The market is open Wednesday and Saturday mornings, year round.","Corroborated by the Farmers' Markets Ontario listing, which gives the same address, days and hours and an operating season of Jan 1 - Dec 31, 2026 (https://farmersmarketsontario.com/markets/sarnia-farmers-market). Source is Ontario's Blue Coast (Sarnia-Lambton tourism), not the market's own site; no standalone official market website was found.","Corroboré par la fiche de Farmers' Markets Ontario (mêmes adresse, jours et heures; saison du 1er janvier au 31 décembre 2026). La source est Ontario's Blue Coast (tourisme Sarnia-Lambton); aucun site officiel propre au marché n'a été trouvé."
"swon-008","Christina Street Market (Sarnia Downtown Market)","Sarnia","City of Sarnia, Lambton County","140 Christina Street North","","","public market","[""Friday"", ""Saturday"", ""Sunday""]","Friday 3 p.m. to 8 p.m., Saturday 10 a.m. to 3 p.m., Sunday 11 a.m. to 3 p.m.; closed Monday through Thursday.","Vendredi de 15 h à 20 h, samedi de 10 h à 15 h, dimanche de 11 h à 15 h; fermé du lundi au jeudi.","","","True","15:00","20:00","Closed Monday, Tuesday, Wednesday and Thursday.","n.a. - products not itemised on the source page.","n.a. - les produits ne sont pas énumérés sur la page source.","https://shopsarnia.com/mobile/sarniamarket","https://www.google.com/maps/search/?api=1&query=Christina%20Street%20Market%20%28Sarnia%20Downtown%20Market%29%2C%20140%20Christina%20Street%20North%2C%20Sarnia%2C%20Ontario%2C%20Canada","other","","2026-08-28","Medium","140 Christina Street North Sarnia, Ontario N7T 5T9 ... Friday: 3:00 pm - 8:00 pm Saturday: 10:00 am - 3:00 pm Sunday: 11:00 am - 3:00 pm","FLAGGED - conflicting hours. Ontario's Blue Coast lists the same address as ""Sarnia Downtown Market ... Open year round: Tues - Thurs 10 AM - 6 PM, Fri 10 AM - 8 PM, Sat 10 AM - 4 PM"" (https://ontbluecoast.com/market-fresh-in-sarnia-lambton/). Indoor year-round market, distinct from the Sarnia Farmers' Market on Proctor Street.","SIGNALÉ - heures contradictoires. Ontario's Blue Coast indique la même adresse avec des heures différentes. Marché intérieur ouvert à l'année, distinct du Sarnia Farmers' Market de la rue Proctor."
"swon-009","Petrolia Farmers' Market","Petrolia","Town of Petrolia, Lambton County","369 Fletcher Street (behind the Petrolia Library)","42.882693","-82.146814","farmers market","[""Saturday""]","Every Saturday, 7:30 a.m. to noon, May to October; the 2026 season runs from Saturday, May 16 to Saturday, October 17, 2026.","Tous les samedis, de 7 h 30 à midi, de mai à octobre; la saison 2026 s'étend du samedi 16 mai au samedi 17 octobre 2026.","2026-05-16","2026-10-17","False","07:30","12:00","2026 Grand Opening Party Saturday, May 23, 2026; 2026 Christmas Market Saturday, December 5, 2026.","A wide variety of local, home grown products.","Une grande variété de produits locaux cultivés sur place.","https://town.petrolia.on.ca/residents/farmers-market/","https://www.google.com/maps/search/?api=1&query=Petrolia%20Farmers%27%20Market%2C%20369%20Fletcher%20Street%20%28behind%20the%20Petrolia%20Library%29%2C%20Petrolia%2C%20Ontario%2C%20Canada","municipal","2026","2026-08-28","High","Every Saturday (May to October) from 7:30 a.m. - noon ... We can be found directly behind the Petrolia Library.","Street number 369 Fletcher Street from the Farmers' Markets Ontario listing; Ontario's Blue Coast lists 396 Fletcher St. and adds a Tuesday 4-8 p.m. market June-September (https://ontbluecoast.com/market-fresh-in-sarnia-lambton/), which the municipal page does not confirm.","Le numéro civique 369, rue Fletcher provient de la fiche de Farmers' Markets Ontario; Ontario's Blue Coast indique le 396, rue Fletcher et ajoute un marché le mardi de 16 h à 20 h de juin à septembre, ce que la page municipale ne confirme pas."
"swon-010","Lambton Shores Market (Forest)","Forest","Municipality of Lambton Shores, Lambton County","11004 Museum Road","43.2512053","-81.8168727","farmers market","[""Wednesday""]","Wednesdays, 9 a.m. to 1 p.m., May 20 to October 7, 2026.","Les mercredis, de 9 h à 13 h, du 20 mai au 7 octobre 2026.","2026-05-20","2026-10-07","False","09:00","13:00","","Seasonal, local produce; variety varies by week.","Produits locaux de saison; la variété change d'une semaine à l'autre.","https://farmersmarketsontario.com/markets/lambton-shores-market-forrest","https://www.google.com/maps/search/?api=1&query=Lambton%20Shores%20Market%20%28Forest%29%2C%2011004%20Museum%20Road%2C%20Forest%2C%20Ontario%2C%20Canada","provincial association","2026","2026-08-28","Medium","Operating Season Seasonal; Opening Date May 20, 2026; Closing Date October 7, 2026; Days Open Wednesday; Hours 9am -1pm","The market's own site (https://www.lambtonshoresmarkets.com) states only ""Markets run from the first week after Victoria Day to the week before Thanksgiving"" and still refers to the 2025 season, with no days, hours or address; the provincial association listing is therefore the schedule source.","Le site du marché n'indique que « Markets run from the first week after Victoria Day to the week before Thanksgiving » et fait encore référence à la saison 2025, sans jours, heures ni adresse; la fiche de l'association provinciale sert donc de source d'horaire."
"swon-011","Grand Bend Village Farmers' Market","Grand Bend","Municipality of Lambton Shores, Lambton County","St John's by the Lake Anglican Church, 70671 Bluewater Hwy","43.3169195","-81.7526364","farmers market","[""Wednesday""]","Wednesdays; weekly live and online market May to October, then biweekly online-only October to May.","Les mercredis; marché hebdomadaire en personne et en ligne de mai à octobre, puis en ligne seulement, une semaine sur deux, d'octobre à mai.","2026-01-03","2026-12-18","True","","","","Farm-fresh produce and other local products from about 10 vendors.","Produits frais de la ferme et autres produits locaux d'une dizaine de marchands.","https://farmersmarketsontario.com/markets/grand-bend-village-farmers-market","https://www.google.com/maps/search/?api=1&query=Grand%20Bend%20Village%20Farmers%27%20Market%2C%20St%20John%27s%20by%20the%20Lake%20Anglican%20Church%2C%2070671%20Bluewater%20Hwy%2C%20Grand%20Bend%2C%20Ontario%2C%20Canada","provincial association","2026","2026-08-28","Medium","Operating Season Year-Round; Opening Date January 3, 2026; Closing Date December 18, 2026; Days Open Wednesday; Hours May to October - weekly - live and online. October to May - biweekly - online only","Opening/closing clock times are not published. The market's own domain (grandbendvillagefm.com / bayfieldfarmersmarket.com) did not resolve during this session.","Les heures précises ne sont pas publiées. Le domaine du marché n'a pas pu être résolu pendant cette session."
"swon-012","Bright's Grove Summer Market","Bright's Grove","City of Sarnia, Lambton County","2759 Lakeshore Road","","","seasonal community market","[""Wednesday""]","Wednesdays, 4:30 p.m. to 7:30 p.m., June to September.","Les mercredis, de 16 h 30 à 19 h 30, de juin à septembre.","06-01","09-30","False","16:30","19:30","","Local producers and hot food vendors.","Producteurs locaux et comptoirs de mets chauds.","https://ontbluecoast.com/market-fresh-in-sarnia-lambton/","https://www.google.com/maps/search/?api=1&query=Bright%27s%20Grove%20Summer%20Market%2C%202759%20Lakeshore%20Road%2C%20Bright%27s%20Grove%2C%20Ontario%2C%20Canada","other","","2026-08-28","Medium","Bright's Grove Summer Market 2759 Lakeshore Road, Brights Grove Wednesday's June - September 4:30 - 7:30","FLAGGED - no schedule year published; source is the Sarnia-Lambton tourism site, not an official market page.","SIGNALÉ - aucune année d'horaire publiée; la source est le site touristique de Sarnia-Lambton et non une page officielle du marché."
