hs_code,heading,description,full_description,tariff_rate_pct,sector,import_value_cad,value_year,value_scope,source_url
0402.10.10,"Milk and cream, concentrated or containing added sugar or other sweetening matter.","- In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%: Within access commitment","Milk and cream, concentrated or containing added sugar or other sweetening matter. - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%: Within access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0402.10.20,"Milk and cream, concentrated or containing added sugar or other sweetening matter.","- In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%: Over access commitment","Milk and cream, concentrated or containing added sugar or other sweetening matter. - In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5%: Over access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0402.21.11,"Milk and cream, concentrated or containing added sugar or other sweetening matter.","- In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5%: Not containing added sugar or other sweetening matter: Milk: Within access commitment","Milk and cream, concentrated or containing added sugar or other sweetening matter. - In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5%: Not containing added sugar or other sweetening matter: Milk: Within access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0402.21.12,"Milk and cream, concentrated or containing added sugar or other sweetening matter.","- In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5%: Not containing added sugar or other sweetening matter: Milk: Over access commitment","Milk and cream, concentrated or containing added sugar or other sweetening matter. - In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5%: Not containing added sugar or other sweetening matter: Milk: Over access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0402.21.21,"Milk and cream, concentrated or containing added sugar or other sweetening matter.","- In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5%: Not containing added sugar or other sweetening matter: Cream: Within access commitment","Milk and cream, concentrated or containing added sugar or other sweetening matter. - In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5%: Not containing added sugar or other sweetening matter: Cream: Within access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0402.21.22,"Milk and cream, concentrated or containing added sugar or other sweetening matter.","- In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5%: Not containing added sugar or other sweetening matter: Cream: Over access commitment","Milk and cream, concentrated or containing added sugar or other sweetening matter. - In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5%: Not containing added sugar or other sweetening matter: Cream: Over access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0402.91.10,"Milk and cream, concentrated or containing added sugar or other sweetening matter.",- Other: Not containing added sugar or other sweetening matter: Within access commitment,"Milk and cream, concentrated or containing added sugar or other sweetening matter. - Other: Not containing added sugar or other sweetening matter: Within access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0402.91.20,"Milk and cream, concentrated or containing added sugar or other sweetening matter.",- Other: Not containing added sugar or other sweetening matter: Over access commitment,"Milk and cream, concentrated or containing added sugar or other sweetening matter. - Other: Not containing added sugar or other sweetening matter: Over access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0402.99.10,"Milk and cream, concentrated or containing added sugar or other sweetening matter.",- Other: Other: Within access commitment,"Milk and cream, concentrated or containing added sugar or other sweetening matter. - Other: Other: Within access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0402.99.20,"Milk and cream, concentrated or containing added sugar or other sweetening matter.",- Other: Other: Over access commitment,"Milk and cream, concentrated or containing added sugar or other sweetening matter. - Other: Other: Over access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0404.10.10,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included.","- Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter: Whey protein concentrate","Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included. - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter: Whey protein concentrate",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0404.10.21,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included.","- Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter: Powdered whey: Within access commitment","Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included. - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter: Powdered whey: Within access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
0404.10.22,"Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included.","- Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter: Powdered whey: Over access commitment","Whey, whether or not concentrated or containing added sugar or other sweetening matter; products consisting of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included. - Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening matter: Powdered whey: Over access commitment",50,Dairy,,,Official aggregate only: C$27.6B across full measure,https://www.canada.ca/en/department-finance/programs/international-trade-finance-policy/canadas-response-us-tariffs/complete-list-us-products-subject-to-counter-tariffs.html
